answer,question
SUM,総和を求める
PRODUCT,総積を求める
SUMIF,「検索条件」に一致するデータの合計を求める
SUMIFS,複数の「検索条件」に一致するデータの合計を求める
ROUND,四捨五入
ROUNDUP,切り上げ
ROUNDDOWN,切り捨て
INT,小数の整数化
TRUNC,小数を指定した桁数の整数に
ABS,数値の絶対値を求める
SIGN,数値の符号を求める
GCD,最大公約数を求める
LCM,最小公倍数を求める
QUOTIENT,割り算の商（整数）を求める
MOD,割り算の余りを求める
SQRT,数値の平方根を求める
POWER,累乗を求める
PI,円周率
RADIANS,度をラジアンにする
DEGREES,ラジアンを度にする
SIN,正弦
COS,余弦
TAN,正接
LN,自然対数
LOG10,常用対数
LOG,指定した底の対数
RAND,0以上1未満の乱数を発生
RANDBETWEEN,指定した範囲の整数の乱数を発生
RANDARRAY,指定した範囲の乱数配列を発生
SEQUENCE,連続した数値の配列を作成する
MDETERM,行列式を求める
MINVERSE,逆行列を求める
MMULT,行列の積を求める
SUBTOTAL,数値で指定した関数を実行する
LOWER,英大文字を小文字に
UPPER,英小文字を大文字に
PROPER,英文字列の頭文字を大文字に
ASC,英数字カタカナを半角文字に変換
JIS,英数字カタカナを全角文字に変換
LEN,文字列の字数を求める
LEFT,文字列の先頭から文字列を取り出す
RIGHT,文字列の最後尾から文字列を取り出す
MID,文字列の途中から文字列を取り出す
FIND,文字列（大文字小文字を区別）を検索し文字位置を返す
SEARCH,文字列（大文字小文字を区別しない）を検索し文字位置を返す
REPLACE,文字列内の指定位置の文字を他の文字列に置き換える
SUBSTITUTE,文字列内の指定位置の文字を他の文字列に置き換える（置換対象を指定可）
REPT,文字列を指定回数だけくり返す
CONCAT,文字列を結合する
TRIM,文字列の前後の空白を削除する
CLEAN,文字列内の制御文字を削除する
VALUE,文字列を数値に変換
TEXTJOIN,複数の範囲や文字列を結合する
FIXED,数値を小数を使用した文字列に変換
TEXT,数値を指定した表示形式の文字列に変換
YEN,数値を円形式の文字列に変換
DOLLAR,数値をドル形式の文字列に変換
TODAY,現在の日付を求める
NOW,現在の日付と時刻を求める
YEAR,日付の「年」を求める
MONTH,日付の「月」を求める
DAY,日付の「日」を求める
WEEKDAY,日付の「曜日」を求める
HOUR,時刻の「時」を求める
MINUTE,時刻の「分」を求める
SECOND,時刻の「秒」を求める
DATEDIF,日付の間隔を指定した単位で求める
NETWORKDAYS,期間内の平日の日数を求める
DATE,文字列を日付けデータに変換
TIME,文字列を時刻データに変換
AND,論理積
OR,論理和
NOT,論理の逆
IF,論理式の真偽により異なった処理をする
IFS,複数の論理式の真偽により異なった処理をする
SWITCH,式を評価して最初に一致する値に対応する処理をする
LET,数式で変数を使用する
MAX,最大値を求める
MAXA,最大値を求める（空白文字列論理値を含める）
MAXIFS,複数の条件に合うセルの最大値を求める
MIN,最小値を求める
MINA,最小値を求める（空白文字列論理値を含める）
MINIFS,複数の条件に合うセルの最小値を求める
COUNT,数値の入ったセルの個数を求める
COUNTA,空白以外のデータの入ったセルの個数を求める
COUNTBLANK,空白セルの個数を求める
COUNTIF,条件に合うセルの個数を求める
COUNTIFS,複数の条件に合うセルの個数を求める
AVERAGE,平均値を求める
AVERAGEA,平均値（空白セル等を含む）を求める
MEDIAN,中央値を求める
MODE,最頻値を求める
AVERAGEIF,条件に合うデータの平均値を求める
AVERAGEIFS,複数の条件に合うデータの平均値を求める
LARGE,大きい方から数えて～番目を求める
SMALL,小さい方から数えて～番目を求める
RANK.EQ,範囲内での順位を求める
FREQUENCY,範囲の内の数値から度数分布表を作成する
ROW,セルの行番号を求める
COLUMN,セルの列番号を求める
ADDRESS,セルのアドレスを表す文字列を求める
INDIRECT,文字列をセル参照として扱う
OFFSET,基準セルから相対移動したセルを参照
HLOOKUP,表の1行目から検索値を検索し、指定行のデータを返す
VLOOKUP,表の1列目から検索値を検索し、指定列のデータを返す
INDEX,セル範囲内の行列番号で指定したデータを返す
FILTER,定義した条件に基づいてデータの範囲をフィルター処理する
SORT,配列を並べ替える
SORTBY,配列を範囲や配列の値に基づいて並べ替える
UNIQUE,重複しないデータを返す
XLOOKUP,表や範囲から検索値を検索し、指定行または指定列のデータを返す
XMATCH,配列またはセル範囲内の項目の相対的な位置を返す
DSUM,データベース内の条件に一致するデータの総和
DCOUNT,データベース内の条件に一致するデータの個数
DMAX,データベース内の条件に一致するデータの最大値
DMIN,データベース内の条件に一致するデータの最小値
DAVERAGE,データベース内の条件に一致するデータの平均
